DATE,IHLIDXUSTPSOFTDEVE
2020-02-01,100.0
2020-02-02,99.75
2020-02-03,99.55
2020-02-04,99.29
2020-02-05,99.22
2020-02-06,99.12
2020-02-07,99.01
2020-02-08,99.11
2020-02-09,99.21
2020-02-10,99.33
2020-02-11,99.39
2020-02-12,99.36
2020-02-13,99.34
2020-02-14,99.38
2020-02-15,99.31
2020-02-16,99.32
2020-02-17,99.28
2020-02-18,99.33
2020-02-19,99.32
2020-02-20,99.34
2020-02-21,99.32
2020-02-22,99.2
2020-02-23,99.29
2020-02-24,99.4
2020-02-25,99.54
2020-02-26,99.71
2020-02-27,99.91
2020-02-28,100.17
2020-02-29,100.61
2020-03-01,100.81
2020-03-02,101.02
2020-03-03,101.18
2020-03-04,101.29
2020-03-05,101.36
2020-03-06,101.37
2020-03-07,101.35
2020-03-08,101.25
2020-03-09,101.03
2020-03-10,100.93
2020-03-11,100.8
2020-03-12,100.69
2020-03-13,100.57
2020-03-14,100.49
2020-03-15,100.43
2020-03-16,100.43
2020-03-17,100.28
2020-03-18,100.09
2020-03-19,99.7
2020-03-20,99.1
2020-03-21,98.24
2020-03-22,97.48
2020-03-23,96.7
2020-03-24,95.96
2020-03-25,95.02
2020-03-26,93.99
2020-03-27,92.66
2020-03-28,91.44
2020-03-29,90.08
2020-03-30,88.78
2020-03-31,87.35
2020-04-01,85.96
2020-04-02,84.7
2020-04-03,83.91
2020-04-04,83.08
2020-04-05,82.21
2020-04-06,81.25
2020-04-07,80.29
2020-04-08,79.57
2020-04-09,78.85
2020-04-10,78.07
2020-04-11,77.5
2020-04-12,76.95
2020-04-13,76.48
2020-04-14,76.07
2020-04-15,75.55
2020-04-16,75.08
2020-04-17,74.62
2020-04-18,74.16
2020-04-19,73.65
2020-04-20,73.25
2020-04-21,72.9
2020-04-22,72.52
2020-04-23,72.17
2020-04-24,71.83
2020-04-25,71.49
2020-04-26,71.2
2020-04-27,70.83
2020-04-28,70.41
2020-04-29,70.01
2020-04-30,69.65
2020-05-01,69.29
2020-05-02,68.96
2020-05-03,68.55
2020-05-04,68.25
2020-05-05,68.0
2020-05-06,67.82
2020-05-07,67.62
2020-05-08,67.46
2020-05-09,67.33
2020-05-10,67.26
2020-05-11,67.07
2020-05-12,66.82
2020-05-13,66.28
2020-05-14,65.89
2020-05-15,65.66
2020-05-16,65.22
2020-05-17,64.84
2020-05-18,64.47
2020-05-19,64.1
2020-05-20,64.15
2020-05-21,64.17
2020-05-22,64.04
2020-05-23,64.09
2020-05-24,63.98
2020-05-25,63.89
2020-05-26,63.82
2020-05-27,63.65
2020-05-28,63.38
2020-05-29,63.26
2020-05-30,63.43
2020-05-31,63.43
2020-06-01,63.33
2020-06-02,63.41
2020-06-03,63.51
2020-06-04,63.61
2020-06-05,63.72
2020-06-06,63.71
2020-06-07,63.9
2020-06-08,64.16
2020-06-09,64.26
2020-06-10,64.35
2020-06-11,64.45
2020-06-12,64.46
2020-06-13,64.3
2020-06-14,64.27
2020-06-15,64.28
2020-06-16,64.31
2020-06-17,64.3
2020-06-18,64.38
2020-06-19,64.45
2020-06-20,64.66
2020-06-21,64.75
2020-06-22,64.82
2020-06-23,64.83
2020-06-24,64.85
2020-06-25,64.8
2020-06-26,64.73
2020-06-27,64.6
2020-06-28,64.54
2020-06-29,64.48
2020-06-30,64.4
2020-07-01,64.34
2020-07-02,64.35
2020-07-03,64.37
2020-07-04,64.42
2020-07-05,64.43
2020-07-06,64.45
2020-07-07,64.56
2020-07-08,64.83
2020-07-09,65.03
2020-07-10,65.27
2020-07-11,65.48
2020-07-12,65.68
2020-07-13,65.9
2020-07-14,66.18
2020-07-15,66.31
2020-07-16,66.42
2020-07-17,66.52
2020-07-18,66.42
2020-07-19,66.6
2020-07-20,66.78
2020-07-21,66.89
2020-07-22,67.04
2020-07-23,67.23
2020-07-24,67.42
2020-07-25,67.86
2020-07-26,68.0
2020-07-27,68.09
2020-07-28,68.13
2020-07-29,68.22
2020-07-30,68.31
2020-07-31,68.4
2020-08-01,68.55
2020-08-02,68.69
2020-08-03,68.91
2020-08-04,69.14
2020-08-05,69.27
2020-08-06,69.36
2020-08-07,69.29
2020-08-08,69.34
2020-08-09,69.47
2020-08-10,69.57
2020-08-11,69.72
2020-08-12,69.67
2020-08-13,69.63
2020-08-14,69.79
2020-08-15,69.57
2020-08-16,69.56
2020-08-17,69.54
2020-08-18,69.48
2020-08-19,69.64
2020-08-20,69.8
2020-08-21,69.91
2020-08-22,70.24
2020-08-23,70.35
2020-08-24,70.46
2020-08-25,70.63
2020-08-26,70.86
2020-08-27,71.08
2020-08-28,71.27
2020-08-29,71.39
2020-08-30,71.5
2020-08-31,71.6
2020-09-01,71.54
2020-09-02,71.58
2020-09-03,71.63
2020-09-04,71.75
2020-09-05,71.92
2020-09-06,72.14
2020-09-07,72.36
2020-09-08,72.64
2020-09-09,72.78
2020-09-10,72.93
2020-09-11,73.05
2020-09-12,73.1
2020-09-13,73.09
2020-09-14,73.08
2020-09-15,73.15
2020-09-16,73.24
2020-09-17,73.36
2020-09-18,73.39
2020-09-19,73.5
2020-09-20,73.68
2020-09-21,73.83
2020-09-22,74.02
2020-09-23,74.19
2020-09-24,74.33
2020-09-25,74.61
2020-09-26,74.82
2020-09-27,75.01
2020-09-28,75.25
2020-09-29,75.47
2020-09-30,75.7
2020-10-01,75.87
2020-10-02,76.01
2020-10-03,76.21
2020-10-04,76.35
2020-10-05,76.47
2020-10-06,76.53
2020-10-07,76.57
2020-10-08,76.71
2020-10-09,76.84
2020-10-10,76.83
2020-10-11,76.97
2020-10-12,77.07
2020-10-13,77.17
2020-10-14,77.29
2020-10-15,77.41
2020-10-16,77.45
2020-10-17,77.61
2020-10-18,77.71
2020-10-19,77.87
2020-10-20,78.08
2020-10-21,78.36
2020-10-22,78.54
2020-10-23,78.74
2020-10-24,78.95
2020-10-25,79.1
2020-10-26,79.23
2020-10-27,79.41
2020-10-28,79.54
2020-10-29,79.66
2020-10-30,79.69
2020-10-31,79.85
2020-11-01,80.06
2020-11-02,80.28
2020-11-03,80.42
2020-11-04,80.62
2020-11-05,80.89
2020-11-06,81.25
2020-11-07,81.46
2020-11-08,81.68
2020-11-09,81.88
2020-11-10,82.09
2020-11-11,82.25
2020-11-12,82.44
2020-11-13,82.66
2020-11-14,82.79
2020-11-15,83.1
2020-11-16,83.46
2020-11-17,83.81
2020-11-18,84.26
2020-11-19,84.63
2020-11-20,85.0
2020-11-21,85.43
2020-11-22,85.64
2020-11-23,85.93
2020-11-24,86.17
2020-11-25,86.38
2020-11-26,86.65
2020-11-27,86.84
2020-11-28,87.07
2020-11-29,87.29
2020-11-30,87.42
2020-12-01,87.31
2020-12-02,87.31
2020-12-03,87.36
2020-12-04,87.55
2020-12-05,87.74
2020-12-06,87.85
2020-12-07,87.98
2020-12-08,88.4
2020-12-09,88.69
2020-12-10,88.77
2020-12-11,88.98
2020-12-12,88.94
2020-12-13,89.25
2020-12-14,89.55
2020-12-15,89.81
2020-12-16,90.04
2020-12-17,90.36
2020-12-18,90.54
2020-12-19,90.87
2020-12-20,90.98
2020-12-21,91.11
2020-12-22,91.28
2020-12-23,91.38
2020-12-24,91.51
2020-12-25,91.57
2020-12-26,91.69
2020-12-27,91.79
2020-12-28,91.89
2020-12-29,92.01
2020-12-30,92.1
2020-12-31,92.17
2021-01-01,92.11
2021-01-02,91.95
2021-01-03,91.76
2021-01-04,91.55
2021-01-05,91.25
2021-01-06,91.11
2021-01-07,91.07
2021-01-08,91.25
2021-01-09,91.4
2021-01-10,91.75
2021-01-11,92.11
2021-01-12,92.62
2021-01-13,93.08
2021-01-14,93.59
2021-01-15,94.15
2021-01-16,94.92
2021-01-17,95.49
2021-01-18,96.01
2021-01-19,96.38
2021-01-20,96.61
2021-01-21,96.71
2021-01-22,96.66
2021-01-23,96.17
2021-01-24,96.02
2021-01-25,95.95
2021-01-26,96.05
2021-01-27,96.28
2021-01-28,96.61
2021-01-29,97.02
2021-01-30,97.75
2021-01-31,98.24
2021-02-01,98.64
2021-02-02,98.94
2021-02-03,99.15
2021-02-04,99.29
2021-02-05,99.63
2021-02-06,99.85
2021-02-07,100.15
2021-02-08,100.46
2021-02-09,100.77
2021-02-10,101.14
2021-02-11,101.61
2021-02-12,101.88
2021-02-13,102.34
2021-02-14,102.65
2021-02-15,102.95
2021-02-16,103.21
2021-02-17,103.5
2021-02-18,103.77
2021-02-19,104.02
2021-02-20,103.97
2021-02-21,104.24
2021-02-22,104.62
2021-02-23,105.09
2021-02-24,105.66
2021-02-25,106.17
2021-02-26,106.74
2021-02-27,107.5
2021-02-28,108.1
2021-03-01,108.49
2021-03-02,108.85
2021-03-03,109.09
2021-03-04,109.35
2021-03-05,109.57
2021-03-06,109.44
2021-03-07,109.6
2021-03-08,109.91
2021-03-09,110.2
2021-03-10,110.47
2021-03-11,110.73
2021-03-12,110.93
2021-03-13,111.64
2021-03-14,111.87
2021-03-15,112.07
2021-03-16,112.3
2021-03-17,112.58
2021-03-18,112.94
2021-03-19,113.28
2021-03-20,113.43
2021-03-21,113.66
2021-03-22,113.9
2021-03-23,114.18
2021-03-24,114.41
2021-03-25,114.5
2021-03-26,114.7
2021-03-27,115.07
2021-03-28,115.38
2021-03-29,115.71
2021-03-30,115.97
2021-03-31,116.15
2021-04-01,116.38
2021-04-02,116.57
2021-04-03,116.67
2021-04-04,116.89
2021-04-05,117.1
2021-04-06,117.2
