DATE,IHLIDXUSTPNURS
2020-11-16,109.76
2020-11-17,109.86
2020-11-18,110.1
2020-11-19,110.35
2020-11-20,110.66
2020-11-21,110.84
2020-11-22,110.96
2020-11-23,111.21
2020-11-24,111.46
2020-11-25,111.32
2020-11-26,111.48
2020-11-27,111.48
2020-11-28,111.61
2020-11-29,111.68
2020-11-30,111.74
2020-12-01,111.73
2020-12-02,111.98
2020-12-03,111.96
2020-12-04,111.96
2020-12-05,112.06
2020-12-06,112.2
2020-12-07,112.3
2020-12-08,112.48
2020-12-09,112.68
2020-12-10,112.97
2020-12-11,113.4
2020-12-12,113.76
2020-12-13,114.13
2020-12-14,114.59
2020-12-15,115.09
2020-12-16,115.43
2020-12-17,115.66
2020-12-18,115.95
2020-12-19,116.27
2020-12-20,116.6
2020-12-21,116.64
2020-12-22,116.68
2020-12-23,116.76
2020-12-24,116.77
2020-12-25,116.66
2020-12-26,116.48
2020-12-27,116.28
2020-12-28,116.31
2020-12-29,116.43
2020-12-30,116.53
2020-12-31,116.7
2021-01-01,116.84
2021-01-02,116.84
2021-01-03,116.87
2021-01-04,117.01
2021-01-05,117.01
2021-01-06,117.26
2021-01-07,117.58
2021-01-08,118.01
2021-01-09,118.61
2021-01-10,119.33
2021-01-11,119.89
2021-01-12,120.52
2021-01-13,120.95
2021-01-14,121.36
2021-01-15,121.69
2021-01-16,122.02
2021-01-17,122.12
2021-01-18,122.24
2021-01-19,122.28
2021-01-20,122.31
2021-01-21,122.42
2021-01-22,122.46
2021-01-23,122.34
2021-01-24,122.33
2021-01-25,122.41
2021-01-26,122.38
2021-01-27,122.36
2021-01-28,122.18
2021-01-29,122.18
2021-01-30,122.25
2021-01-31,122.4
2021-02-01,122.46
2021-02-02,122.64
2021-02-03,122.82
2021-02-04,123.0
2021-02-05,123.18
2021-02-06,123.34
2021-02-07,123.48
2021-02-08,123.66
2021-02-09,123.77
2021-02-10,123.83
2021-02-11,123.9
2021-02-12,123.72
2021-02-13,123.62
2021-02-14,123.42
2021-02-15,123.13
2021-02-16,122.8
2021-02-17,122.54
2021-02-18,122.19
2021-02-19,121.9
2021-02-20,121.52
2021-02-21,121.27
2021-02-22,121.08
2021-02-23,120.91
2021-02-24,120.8
2021-02-25,120.73
2021-02-26,120.67
2021-02-27,120.71
2021-02-28,120.68
2021-03-01,120.51
2021-03-02,120.36
2021-03-03,120.24
2021-03-04,120.19
2021-03-05,120.14
2021-03-06,120.0
2021-03-07,119.87
2021-03-08,119.9
2021-03-09,119.98
2021-03-10,119.9
2021-03-11,119.82
2021-03-12,119.76
2021-03-13,119.85
2021-03-14,119.89
2021-03-15,119.9
2021-03-16,119.86
2021-03-17,119.92
2021-03-18,120.01
2021-03-19,120.19
2021-03-20,120.34
2021-03-21,120.48
2021-03-22,120.57
2021-03-23,120.73
2021-03-24,120.77
2021-03-25,120.91
2021-03-26,120.98
2021-03-27,121.21
2021-03-28,121.36
2021-03-29,121.61
2021-03-30,121.85
2021-03-31,122.22
2021-04-01,122.36
2021-04-02,122.47
2021-04-03,122.51
2021-04-04,122.56
2021-04-05,122.64
2021-04-06,122.68
2021-04-07,122.72
2021-04-08,122.85
2021-04-09,123.1
2021-04-10,123.29
2021-04-11,123.5
2021-04-12,123.66
2021-04-13,123.79
2021-04-14,123.96
2021-04-15,124.13
2021-04-16,124.25
2021-04-17,124.47
2021-04-18,124.63
2021-04-19,124.75
2021-04-20,124.99
2021-04-21,125.21
2021-04-22,125.43
2021-04-23,125.63
2021-04-24,125.84
2021-04-25,126.04
2021-04-26,126.27
2021-04-27,126.42
2021-04-28,126.55
2021-04-29,126.67
2021-04-30,126.97
2021-05-01,127.1
2021-05-02,127.35
2021-05-03,127.65
2021-05-04,127.99
2021-05-05,128.4
2021-05-06,128.94
2021-05-07,129.23
2021-05-08,129.74
2021-05-09,130.14
2021-05-10,130.36
2021-05-11,130.51
2021-05-12,130.63
2021-05-13,130.66
2021-05-14,130.78
2021-05-15,130.78
2021-05-16,130.92
2021-05-17,131.18
2021-05-18,131.42
2021-05-19,131.67
2021-05-20,131.88
2021-05-21,131.94
2021-05-22,131.8
2021-05-23,131.71
2021-05-24,131.65
2021-05-25,131.63
2021-05-26,131.65
2021-05-27,131.59
2021-05-28,131.68
2021-05-29,132.06
2021-05-30,132.25
2021-05-31,132.45
2021-06-01,132.45
2021-06-02,132.4
2021-06-03,132.42
2021-06-04,132.44
2021-06-05,132.32
2021-06-06,132.27
2021-06-07,132.17
2021-06-08,132.23
2021-06-09,132.36
2021-06-10,132.5
2021-06-11,132.62
2021-06-12,132.79
2021-06-13,132.91
2021-06-14,133.05
2021-06-15,133.15
2021-06-16,133.18
2021-06-17,133.13
2021-06-18,133.04
2021-06-19,132.94
2021-06-20,132.8
2021-06-21,132.73
2021-06-22,132.71
2021-06-23,132.69
2021-06-24,132.7
2021-06-25,132.74
2021-06-26,132.99
2021-06-27,133.25
2021-06-28,133.53
2021-06-29,133.83
2021-06-30,134.1
2021-07-01,134.36
2021-07-02,134.66
2021-07-03,134.87
2021-07-04,135.16
2021-07-05,135.29
2021-07-06,135.45
2021-07-07,135.6
2021-07-08,135.88
2021-07-09,136.18
2021-07-10,136.15
2021-07-11,136.15
2021-07-12,136.16
2021-07-13,136.18
2021-07-14,136.35
2021-07-15,136.5
2021-07-16,136.57
2021-07-17,136.93
2021-07-18,137.39
2021-07-19,137.96
2021-07-20,138.5
2021-07-21,138.69
2021-07-22,138.73
2021-07-23,138.85
2021-07-24,138.85
2021-07-25,138.81
2021-07-26,138.62
2021-07-27,138.45
2021-07-28,138.44
2021-07-29,138.5
2021-07-30,138.43
2021-07-31,138.55
2021-08-01,138.54
2021-08-02,138.73
2021-08-03,138.95
2021-08-04,139.16
2021-08-05,139.46
2021-08-06,139.97
2021-08-07,140.11
2021-08-08,140.39
2021-08-09,140.6
2021-08-10,140.79
2021-08-11,141.12
2021-08-12,141.49
2021-08-13,141.73
2021-08-14,142.19
2021-08-15,142.52
2021-08-16,142.81
2021-08-17,143.11
2021-08-18,143.38
2021-08-19,143.51
2021-08-20,143.68
2021-08-21,143.91
2021-08-22,144.28
2021-08-23,144.56
2021-08-24,144.73
2021-08-25,144.93
2021-08-26,145.13
2021-08-27,145.45
2021-08-28,145.73
2021-08-29,146.05
2021-08-30,146.43
2021-08-31,146.87
2021-09-01,147.19
2021-09-02,147.65
2021-09-03,147.98
2021-09-04,148.26
2021-09-05,148.57
2021-09-06,148.99
2021-09-07,149.26
2021-09-08,149.74
2021-09-09,150.04
2021-09-10,150.52
2021-09-11,151.18
2021-09-12,151.77
2021-09-13,152.29
2021-09-14,152.71
2021-09-15,153.03
2021-09-16,153.25
2021-09-17,153.31
2021-09-18,153.33
2021-09-19,153.29
2021-09-20,153.17
2021-09-21,153.27
2021-09-22,153.46
2021-09-23,153.81
2021-09-24,154.01
2021-09-25,154.21
2021-09-26,154.37
2021-09-27,154.65
2021-09-28,154.95
2021-09-29,155.17
2021-09-30,155.41
2021-10-01,155.79
2021-10-02,156.24
2021-10-03,156.65
2021-10-04,156.98
2021-10-05,157.24
2021-10-06,157.38
2021-10-07,157.67
2021-10-08,157.94
2021-10-09,158.03
2021-10-10,158.08
2021-10-11,158.2
2021-10-12,158.39
2021-10-13,158.67
2021-10-14,159.06
2021-10-15,159.38
2021-10-16,159.75
2021-10-17,160.35
2021-10-18,160.81
2021-10-19,161.18
2021-10-20,161.58
2021-10-21,161.53
2021-10-22,161.63
2021-10-23,161.71
2021-10-24,161.63
2021-10-25,161.62
2021-10-26,161.63
2021-10-27,161.32
2021-10-28,161.09
2021-10-29,160.68
2021-10-30,160.32
2021-10-31,159.83
2021-11-01,159.44
2021-11-02,159.1
2021-11-03,159.06
2021-11-04,159.08
2021-11-05,159.28
2021-11-06,159.41
2021-11-07,159.9
2021-11-08,160.26
2021-11-09,160.63
2021-11-10,160.94
2021-11-11,161.38
2021-11-12,161.7
2021-11-13,161.99
2021-11-14,162.07
2021-11-15,162.06
2021-11-16,162.01
2021-11-17,162.12
2021-11-18,162.11
2021-11-19,162.15
2021-11-20,162.02
2021-11-21,162.18
2021-11-22,162.5
2021-11-23,162.87
2021-11-24,163.19
2021-11-25,163.46
2021-11-26,163.72
2021-11-27,164.27
2021-11-28,164.39
2021-11-29,164.53
2021-11-30,164.71
2021-12-01,164.84
2021-12-02,165.13
2021-12-03,164.95
2021-12-04,165.16
2021-12-05,165.45
2021-12-06,165.84
2021-12-07,166.18
2021-12-08,166.42
2021-12-09,166.46
2021-12-10,166.87
2021-12-11,166.8
2021-12-12,167.0
2021-12-13,167.04
2021-12-14,167.22
2021-12-15,167.78
2021-12-16,168.47
2021-12-17,169.58
2021-12-18,170.78
2021-12-19,171.97
2021-12-20,173.17
2021-12-21,174.26
2021-12-22,174.28
2021-12-23,174.36
2021-12-24,174.31
2021-12-25,174.37
2021-12-26,174.19
2021-12-27,174.32
2021-12-28,174.25
2021-12-29,174.83
2021-12-30,175.29
2021-12-31,175.9
2022-01-01,176.24
2022-01-02,176.29
2022-01-03,176.07
2022-01-04,176.2
2022-01-05,176.48
2022-01-06,176.82
2022-01-07,176.75
2022-01-08,176.73
2022-01-09,177.14
2022-01-10,177.56
2022-01-11,177.45
2022-01-12,177.47
2022-01-13,177.47
2022-01-14,176.6
2022-01-15,176.67
2022-01-16,176.62
2022-01-17,177.0
2022-01-18,177.37
2022-01-19,177.83
2022-01-20,178.16
2022-01-21,179.19
2022-01-22,179.08
2022-01-23,179.01
2022-01-24,178.45
2022-01-25,178.28
2022-01-26,177.93
2022-01-27,177.39
2022-01-28,176.77
2022-01-29,176.28
2022-01-30,175.96
2022-01-31,175.61
2022-02-01,175.2
2022-02-02,174.75
2022-02-03,174.61
2022-02-04,174.74
2022-02-05,174.94
2022-02-06,174.92
2022-02-07,174.94
2022-02-08,175.02
2022-02-09,175.05
2022-02-10,174.98
2022-02-11,174.9
2022-02-12,174.82
2022-02-13,174.7
2022-02-14,174.55
2022-02-15,174.27
2022-02-16,173.99
2022-02-17,173.65
2022-02-18,173.47
2022-02-19,173.27
2022-02-20,173.18
2022-02-21,173.14
2022-02-22,172.61
2022-02-23,172.55
2022-02-24,172.65
2022-02-25,172.47
2022-02-26,172.55
2022-02-27,172.6
2022-02-28,172.59
2022-03-01,173.16
2022-03-02,172.92
2022-03-03,172.7
2022-03-04,172.38
2022-03-05,172.0
2022-03-06,171.59
2022-03-07,171.11
2022-03-08,170.63
2022-03-09,170.4
2022-03-10,169.67
2022-03-11,169.26
2022-03-12,168.78
2022-03-13,168.36
2022-03-14,167.99
2022-03-15,167.66
2022-03-16,167.49
2022-03-17,167.88
2022-03-18,168.12
2022-03-19,168.23
