DATE,IHLIDXUSTPMARK
2020-11-16,75.45
2020-11-17,75.91
2020-11-18,76.37
2020-11-19,76.66
2020-11-20,76.97
2020-11-21,77.38
2020-11-22,77.61
2020-11-23,77.89
2020-11-24,78.09
2020-11-25,78.32
2020-11-26,78.56
2020-11-27,78.69
2020-11-28,78.82
2020-11-29,78.88
2020-11-30,78.88
2020-12-01,78.8
2020-12-02,78.76
2020-12-03,78.84
2020-12-04,79.02
2020-12-05,79.27
2020-12-06,79.55
2020-12-07,79.8
2020-12-08,80.21
2020-12-09,80.57
2020-12-10,80.74
2020-12-11,81.02
2020-12-12,80.94
2020-12-13,81.13
2020-12-14,81.29
2020-12-15,81.46
2020-12-16,81.58
2020-12-17,81.68
2020-12-18,81.64
2020-12-19,81.84
2020-12-20,81.82
2020-12-21,81.79
2020-12-22,81.72
2020-12-23,81.73
2020-12-24,81.81
2020-12-25,81.81
2020-12-26,81.81
2020-12-27,81.82
2020-12-28,81.92
2020-12-29,82.19
2020-12-30,82.46
2020-12-31,82.88
2021-01-01,83.38
2021-01-02,83.91
2021-01-03,84.48
2021-01-04,85.06
2021-01-05,85.5
2021-01-06,86.01
2021-01-07,86.45
2021-01-08,86.94
2021-01-09,87.38
2021-01-10,87.92
2021-01-11,88.33
2021-01-12,88.77
2021-01-13,89.16
2021-01-14,89.57
2021-01-15,89.93
2021-01-16,90.46
2021-01-17,90.85
2021-01-18,91.2
2021-01-19,91.48
2021-01-20,91.64
2021-01-21,91.68
2021-01-22,91.8
2021-01-23,91.43
2021-01-24,91.46
2021-01-25,91.53
2021-01-26,91.73
2021-01-27,91.98
2021-01-28,92.36
2021-01-29,92.66
2021-01-30,93.28
2021-01-31,93.61
2021-02-01,93.94
2021-02-02,94.23
2021-02-03,94.49
2021-02-04,94.82
2021-02-05,95.22
2021-02-06,95.55
2021-02-07,95.94
2021-02-08,96.33
2021-02-09,96.69
2021-02-10,97.12
2021-02-11,97.45
2021-02-12,97.72
2021-02-13,98.14
2021-02-14,98.41
2021-02-15,98.64
2021-02-16,98.86
2021-02-17,99.04
2021-02-18,99.25
2021-02-19,99.47
2021-02-20,99.36
2021-02-21,99.6
2021-02-22,99.85
2021-02-23,100.2
2021-02-24,100.51
2021-02-25,100.76
2021-02-26,101.02
2021-02-27,101.49
2021-02-28,101.78
2021-03-01,101.96
2021-03-02,102.09
2021-03-03,102.3
2021-03-04,102.63
2021-03-05,102.94
2021-03-06,102.94
2021-03-07,103.17
2021-03-08,103.51
2021-03-09,103.85
2021-03-10,104.22
2021-03-11,104.53
2021-03-12,104.93
2021-03-13,105.77
2021-03-14,106.19
2021-03-15,106.63
2021-03-16,107.12
2021-03-17,107.59
2021-03-18,108.07
2021-03-19,108.53
2021-03-20,108.9
2021-03-21,109.34
2021-03-22,109.72
2021-03-23,110.09
2021-03-24,110.5
2021-03-25,110.91
2021-03-26,111.35
2021-03-27,111.87
2021-03-28,112.4
2021-03-29,112.99
2021-03-30,113.58
2021-03-31,114.14
2021-04-01,114.61
2021-04-02,114.98
2021-04-03,115.24
2021-04-04,115.58
2021-04-05,115.88
2021-04-06,116.09
2021-04-07,116.24
2021-04-08,116.52
2021-04-09,116.92
2021-04-10,117.0
2021-04-11,117.11
2021-04-12,117.26
2021-04-13,117.36
2021-04-14,117.48
2021-04-15,117.55
2021-04-16,117.41
2021-04-17,117.64
2021-04-18,117.82
2021-04-19,117.91
2021-04-20,118.13
2021-04-21,118.37
2021-04-22,118.66
2021-04-23,119.17
2021-04-24,119.63
2021-04-25,120.01
2021-04-26,120.43
2021-04-27,120.77
