DATE,IHLIDXUSTPPRMA
2020-11-16,120.19
2020-11-17,120.5
2020-11-18,120.79
2020-11-19,121.02
2020-11-20,121.16
2020-11-21,122.3
2020-11-22,123.31
2020-11-23,124.43
2020-11-24,124.7
2020-11-25,125.02
2020-11-26,125.32
2020-11-27,125.55
2020-11-28,125.7
2020-11-29,125.61
2020-11-30,125.48
2020-12-01,125.31
2020-12-02,125.19
2020-12-03,125.12
2020-12-04,124.41
2020-12-05,124.71
2020-12-06,125.05
2020-12-07,125.27
2020-12-08,125.52
2020-12-09,125.7
2020-12-10,125.89
2020-12-11,126.95
2020-12-12,126.73
2020-12-13,126.95
2020-12-14,127.21
2020-12-15,127.57
2020-12-16,127.87
2020-12-17,128.03
2020-12-18,128.19
2020-12-19,128.52
2020-12-20,128.5
2020-12-21,128.54
2020-12-22,128.46
2020-12-23,128.03
2020-12-24,127.66
2020-12-25,127.17
2020-12-26,126.81
2020-12-27,126.48
2020-12-28,126.2
2020-12-29,125.94
2020-12-30,126.05
2020-12-31,126.01
2021-01-01,125.52
2021-01-02,124.66
2021-01-03,123.64
2021-01-04,122.39
2021-01-05,121.46
2021-01-06,120.83
2021-01-07,120.5
2021-01-08,120.84
2021-01-09,121.4
2021-01-10,122.39
2021-01-11,123.43
2021-01-12,124.22
2021-01-13,124.87
2021-01-14,125.66
2021-01-15,126.44
2021-01-16,127.45
2021-01-17,128.09
2021-01-18,128.74
2021-01-19,129.34
2021-01-20,129.88
2021-01-21,130.2
2021-01-22,130.47
2021-01-23,130.3
2021-01-24,130.47
2021-01-25,130.69
2021-01-26,130.99
2021-01-27,131.14
2021-01-28,131.29
2021-01-29,131.59
2021-01-30,132.01
2021-01-31,132.29
2021-02-01,132.49
2021-02-02,132.62
2021-02-03,132.96
2021-02-04,133.19
2021-02-05,133.54
2021-02-06,133.94
2021-02-07,134.4
2021-02-08,134.94
2021-02-09,135.51
2021-02-10,136.12
2021-02-11,136.71
2021-02-12,137.14
2021-02-13,137.77
2021-02-14,138.24
2021-02-15,138.68
2021-02-16,138.96
2021-02-17,139.2
2021-02-18,139.51
2021-02-19,139.64
2021-02-20,139.46
2021-02-21,139.56
2021-02-22,139.65
2021-02-23,139.85
2021-02-24,140.05
2021-02-25,140.34
2021-02-26,140.61
2021-02-27,141.13
2021-02-28,141.48
2021-03-01,141.59
2021-03-02,141.74
2021-03-03,142.01
2021-03-04,142.32
2021-03-05,142.82
2021-03-06,143.26
2021-03-07,143.69
2021-03-08,144.43
2021-03-09,145.11
2021-03-10,145.62
2021-03-11,146.03
2021-03-12,146.37
2021-03-13,146.84
2021-03-14,147.08
2021-03-15,147.2
2021-03-16,147.37
2021-03-17,147.66
2021-03-18,148.11
2021-03-19,148.66
2021-03-20,149.34
2021-03-21,150.08
2021-03-22,150.8
2021-03-23,151.62
2021-03-24,152.28
2021-03-25,153.02
2021-03-26,153.67
2021-03-27,154.29
2021-03-28,154.89
2021-03-29,155.57
2021-03-30,156.22
2021-03-31,157.03
2021-04-01,157.38
2021-04-02,157.61
2021-04-03,157.79
2021-04-04,158.15
2021-04-05,158.54
2021-04-06,158.84
2021-04-07,159.08
2021-04-08,159.75
2021-04-09,160.65
2021-04-10,161.32
2021-04-11,161.85
2021-04-12,162.39
2021-04-13,162.93
2021-04-14,163.53
2021-04-15,163.95
2021-04-16,164.13
2021-04-17,164.56
2021-04-18,164.92
2021-04-19,165.26
2021-04-20,165.6
2021-04-21,165.9
2021-04-22,166.3
2021-04-23,166.87
2021-04-24,167.44
2021-04-25,167.92
2021-04-26,168.29
2021-04-27,168.63
2021-04-28,168.98
2021-04-29,169.23
2021-04-30,169.41
2021-05-01,169.38
2021-05-02,169.49
2021-05-03,169.76
2021-05-04,170.09
2021-05-05,170.49
2021-05-06,170.95
2021-05-07,171.43
2021-05-08,172.14
2021-05-09,172.83
2021-05-10,173.36
2021-05-11,173.85
2021-05-12,174.25
2021-05-13,174.65
2021-05-14,175.04
2021-05-15,175.03
2021-05-16,175.04
2021-05-17,175.04
2021-05-18,175.03
2021-05-19,174.99
2021-05-20,175.06
2021-05-21,175.01
2021-05-22,174.59
2021-05-23,174.67
2021-05-24,174.81
2021-05-25,174.97
2021-05-26,175.21
2021-05-27,175.31
2021-05-28,175.47
2021-05-29,176.31
2021-05-30,176.68
2021-05-31,177.13
2021-06-01,177.19
2021-06-02,177.0
2021-06-03,176.9
2021-06-04,176.85
2021-06-05,176.58
2021-06-06,176.34
2021-06-07,175.97
2021-06-08,175.98
2021-06-09,176.16
2021-06-10,176.2
2021-06-11,176.28
2021-06-12,176.35
2021-06-13,176.46
2021-06-14,176.65
2021-06-15,176.87
2021-06-16,177.04
2021-06-17,177.21
2021-06-18,177.39
2021-06-19,177.8
2021-06-20,178.14
2021-06-21,178.49
2021-06-22,178.64
2021-06-23,178.85
2021-06-24,178.92
2021-06-25,178.87
2021-06-26,179.07
2021-06-27,179.06
2021-06-28,179.22
2021-06-29,179.47
2021-06-30,179.53
2021-07-01,179.58
2021-07-02,179.84
2021-07-03,180.05
2021-07-04,180.43
2021-07-05,180.65
2021-07-06,180.87
2021-07-07,181.37
2021-07-08,182.17
2021-07-09,182.94
2021-07-10,183.1
2021-07-11,183.38
2021-07-12,183.61
2021-07-13,183.92
2021-07-14,184.04
2021-07-15,184.02
2021-07-16,183.86
2021-07-17,183.96
2021-07-18,184.24
2021-07-19,184.6
2021-07-20,184.83
2021-07-21,184.38
2021-07-22,183.73
2021-07-23,182.93
2021-07-24,181.96
2021-07-25,180.72
2021-07-26,179.26
2021-07-27,177.92
2021-07-28,177.22
2021-07-29,176.68
2021-07-30,176.03
2021-07-31,176.03
2021-08-01,175.78
2021-08-02,175.75
2021-08-03,175.8
2021-08-04,175.94
2021-08-05,176.1
2021-08-06,176.57
2021-08-07,176.33
2021-08-08,176.58
2021-08-09,176.9
2021-08-10,177.07
2021-08-11,177.15
2021-08-12,177.29
2021-08-13,177.44
2021-08-14,177.93
2021-08-15,178.16
2021-08-16,178.27
2021-08-17,178.42
2021-08-18,178.69
2021-08-19,179.04
2021-08-20,179.44
2021-08-21,179.71
2021-08-22,180.08
2021-08-23,180.38
2021-08-24,180.81
2021-08-25,181.22
2021-08-26,181.46
2021-08-27,181.45
2021-08-28,181.64
2021-08-29,181.84
